Timestamp,Concurrency (VUs),Throughput (RPS),Latency P95 (ms),Latency Median (ms)
2025-07-10T01:01:02Z,1,3,81.70,81.70
2025-07-10T01:01:03Z,2,1,1.11,0.51
2025-07-10T01:01:04Z,3,2,0.81,0.51
2025-07-10T01:01:05Z,4,3,1.13,0.51
2025-07-10T01:01:06Z,5,4,0.75,0.52
2025-07-10T01:01:07Z,6,5,0.83,0.51
2025-07-10T01:01:08Z,7,7,0.85,0.52
2025-07-10T01:01:09Z,8,8,0.99,0.50
2025-07-10T01:01:10Z,9,9,0.94,0.52
2025-07-10T01:01:11Z,10,10,0.91,0.50
2025-07-10T01:01:12Z,11,11,0.87,0.50
2025-07-10T01:01:13Z,12,12,0.89,0.50
2025-07-10T01:01:14Z,13,13,0.82,0.52
2025-07-10T01:01:15Z,14,14,0.77,0.50
2025-07-10T01:01:16Z,15,15,0.81,0.51
2025-07-10T01:01:17Z,16,16,0.87,0.52
2025-07-10T01:01:18Z,17,17,0.80,0.51
2025-07-10T01:01:19Z,18,18,1.20,0.53
2025-07-10T01:01:20Z,19,17,1.05,0.54
2025-07-10T01:01:21Z,20,12,1.05,0.52
2025-07-10T01:01:22Z,20,12,1.02,0.52
2025-07-10T01:01:23Z,20,14,0.91,0.54
2025-07-10T01:01:24Z,20,14,1.00,0.54
2025-07-10T01:01:25Z,20,13,1.01,0.54
2025-07-10T01:01:26Z,20,12,0.98,0.53
2025-07-10T01:01:27Z,20,12,1.02,0.53
2025-07-10T01:01:28Z,20,13,1.12,0.54
2025-07-10T01:01:29Z,20,14,1.04,0.56
2025-07-10T01:01:30Z,20,12,1.00,0.55
2025-07-10T01:01:31Z,20,12,1.00,0.55
2025-07-10T01:01:32Z,18,11,0.90,0.54
2025-07-10T01:01:33Z,16,10,0.80,0.53
2025-07-10T01:01:34Z,14,10,0.92,0.54
2025-07-10T01:01:35Z,12,9,0.79,0.53
2025-07-10T01:01:36Z,10,7,0.69,0.52
2025-07-10T01:01:37Z,8,6,0.77,0.53
2025-07-10T01:01:38Z,6,5,0.81,0.52
2025-07-10T01:01:39Z,4,3,0.85,0.53
2025-07-10T01:01:40Z,2,2,0.61,0.53
